ID,Direction,StopName,StopCode,Latitude,Longitude,Status,StopType,Routes,Zone
5296,UP,bhatnagar,302D-U-06,18.62516022,73.7977066,Inactive,Secondary,"['334-U', '350B-U', '326-U', '302-U', '302D-U']",Zone 4
5297,UP,morwadi chowk,302D-U-07,18.6247089,73.8010401,Active,Primary,"['302-U', '302D-U']",Zone 4
5298,UP,pimpri,302D-U-08,18.6267776,73.8050949,Active,Primary,"['310A-U', '335B-U', '331C-U', '302-U', '302D-U']",Zone 4
5299,UP,mahindra company,302D-U-09,18.62707167,73.80628167,Inactive,Secondary,"['310A-U', '335B-U', '331C-U', '302-U', '302D-U']",Zone 4
5300,UP,gandhinagar,302D-U-10,18.62906078,73.80790116,Active,Primary,"['310A-U', '335B-U', '331C-U', '302-U', '302D-U']",Zone 4
5301,UP,kamgarnagar,302D-U-11,18.629,73.81247,Active,Primary,"['310A-U', '335B-U', '331C-U', '302-U', '302D-U']",Zone 4
5302,UP,ha corner,302D-U-12,18.628644,73.815054,Inactive,Secondary,"['310A-U', '335B-U', '331C-U', '302-U', '302D-U']",Zone 4
5303,UP,nehrunagar corner,302D-U-13,18.62963333,73.81917333,Inactive,Secondary,"['302-U', '302D-U', '323B-U', '323C-U']",Zone 4
5304,UP,nehrunagar,302D-U-14,18.62977667,73.81994833,Active,Primary,"['376D-U', '310A-U', '335B-U', '331C-U', '362B-U', '302-U', '302D-U']",Zone 4
5305,UP,jyoti english school,302D-U-15,18.63063,73.82374,Inactive,Secondary,"['376D-U', '310A-U', '335B-U', '331C-U', '362B-U', '302-U', '302D-U']",Zone 4
5306,UP,nehrunagar depot,302D-U-16,18.63091,73.82508,Active,Primary,"['344B-U', '376D-U', '310A-U', '304A-U', '335B-U', '331C-U', '331D-U', '302C-U', '323C-U', '323B-U', '302D-U']",Zone 4
5307,DOWN,gavhanevasti bhosari,304A-D-00,18.620493,73.849265,Active,Primary,"['302C-D', '367B-D', '367-D', '302-D', '304-D', '362B-D', '304A-D']",Zone 4
5308,DOWN,agnishamak kendra landewadi,304A-D-01,18.6203067,73.8465083,Active,Primary,"['302C-D', '367B-D', '367-D', '302-D', '304-D', '362B-D', '304A-D']",Zone 4
5309,DOWN,landewadi,304A-D-02,18.6197712,73.8411651,Active,Primary,"['302C-D', '367B-D', '367-D', '302-D', '304-D', '362B-D', '304A-D']",Zone 4
5310,DOWN,electronic sadan,304A-D-03,18.6230856,73.8385685,Active,Primary,"['304-D', '367B-D', '304A-D', '367-D']",Zone 4
5311,DOWN,century enka company,304A-D-04,18.6275828,73.8344512,Active,Primary,"['304-D', '367B-D', '304A-D', '367-D']",Zone 4
5312,DOWN,indrayaninagar corner,304A-D-05,18.6295599,73.8326524,Inactive,Secondary,"['304-D', '367B-D', '304A-D', '367-D']",Zone 4
5313,DOWN,power house indrayninagar,304A-D-06,18.63235,73.83014,Active,Primary,"['304-D', '367B-D', '304A-D', '367-D']",Zone 4
5314,DOWN,ganeshnagar telco road,304A-D-07,18.6346341,73.828004,Active,Primary,"['304-D', '367B-D', '304A-D', '367-D']",Zone 4
5315,DOWN,gavali matha,304A-D-08,18.6368791,73.8260131,Active,Primary,"['304-D', '367B-D', '304A-D', '367-D']",Zone 4
